cause_name,age,age_name,incidence,cluster_3,cluster_4,cause_outline,incidence_rate
Cirrhosis and other chronic liver diseases due to hepatitis C,10,10-14 years,-1.374781238199946,Ageing-related,Adult (late),B.4.1.2,2.5282776964233703e-6
Cirrhosis and other chronic liver diseases due to hepatitis C,15,15-19 years,-1.338789843510496,Ageing-related,Adult (late),B.4.1.2,4.498116108616826e-6
Cirrhosis and other chronic liver diseases due to hepatitis C,20,20-24 years,-1.168588179616957,Ageing-related,Adult (late),B.4.1.2,1.953426464185099e-5
Cirrhosis and other chronic liver diseases due to hepatitis C,25,25-29 years,-0.9039342368020447,Ageing-related,Adult (late),B.4.1.2,4.8100683779960384e-5
Cirrhosis and other chronic liver diseases due to hepatitis C,30,30-34 years,-0.6058672800743569,Ageing-related,Adult (late),B.4.1.2,9.879168591949066e-5
Cirrhosis and other chronic liver diseases due to hepatitis C,35,35-39 years,-0.1908141605586843,Ageing-related,Adult (late),B.4.1.2,1.6521206399887448e-4
Cirrhosis and other chronic liver diseases due to hepatitis C,40,40-44 years,0.2376886934986362,Ageing-related,Adult (late),B.4.1.2,2.186533771459001e-4
Cirrhosis and other chronic liver diseases due to hepatitis C,45,45-49 years,0.5425959314304668,Ageing-related,Adult (late),B.4.1.2,2.22602270584149e-4
Cirrhosis and other chronic liver diseases due to hepatitis C,50,50-54 years,0.8734387625366433,Ageing-related,Adult (late),B.4.1.2,1.687587963732857e-4
Cirrhosis and other chronic liver diseases due to hepatitis C,55,55-59 years,1.130674841635356,Ageing-related,Adult (late),B.4.1.2,1.0101219998743346e-4
Cirrhosis and other chronic liver diseases due to hepatitis C,60,60-64 years,1.217280802575137,Ageing-related,Adult (late),B.4.1.2,5.60587938594512e-5
Cirrhosis and other chronic liver diseases due to hepatitis C,65,65-69 years,1.157153100265682,Ageing-related,Adult (late),B.4.1.2,3.0900076167563995e-5
Cirrhosis and other chronic liver diseases due to hepatitis C,70,70-74 years,1.069557822309948,Ageing-related,Adult (late),B.4.1.2,1.5189394658435545e-5
Cirrhosis and other chronic liver diseases due to hepatitis C,75,75-79 years,0.9655586367216253,Ageing-related,Adult (late),B.4.1.2,1.0140371006229446e-5
Cirrhosis and other chronic liver diseases due to hepatitis C,80,80-84 years,0.7760380708968166,Ageing-related,Adult (late),B.4.1.2,8.0596581922967e-6
Cirrhosis and other chronic liver diseases due to hepatitis C,85,85-89 years,0.6487208528114186,Ageing-related,Adult (late),B.4.1.2,1.0474953114126978e-5
Cirrhosis and other chronic liver diseases due to hepatitis C,90,90-94 years,0.4344876588644057,Ageing-related,Adult (late),B.4.1.2,1.6506308479768064e-5
Cirrhosis and other chronic liver diseases due to hepatitis C,95,95-99 years,0.6862602725668717,Ageing-related,Adult (late),B.4.1.2,5.570638124360866e-5
Cirrhosis and other chronic liver diseases due to other causes,0,0-1 years,-1.792484674544071,Ageing-related,Ageing-related,B.4.1.5,1.912109887227163e-4
Cirrhosis and other chronic liver diseases due to other causes,1,1-4 years,-0.3271755279924362,Ageing-related,Ageing-related,B.4.1.5,1.303810797921398e-4
Cirrhosis and other chronic liver diseases due to other causes,5,5-9 years,-1.090340761651645,Ageing-related,Ageing-related,B.4.1.5,7.592226257125106e-5
Cirrhosis and other chronic liver diseases due to other causes,10,10-14 years,-1.104401891872296,Ageing-related,Ageing-related,B.4.1.5,6.352788541790531e-5
Cirrhosis and other chronic liver diseases due to other causes,15,15-19 years,-0.4367581097700574,Ageing-related,Ageing-related,B.4.1.5,7.121141136612733e-5
Cirrhosis and other chronic liver diseases due to other causes,20,20-24 years,-0.4517841861676984,Ageing-related,Ageing-related,B.4.1.5,7.071744978035124e-5
Cirrhosis and other chronic liver diseases due to other causes,25,25-29 years,-0.6560021727316186,Ageing-related,Ageing-related,B.4.1.5,6.474516750787785e-5
Cirrhosis and other chronic liver diseases due to other causes,30,30-34 years,-0.7924791768626849,Ageing-related,Ageing-related,B.4.1.5,6.911808681112513e-5
Cirrhosis and other chronic liver diseases due to other causes,35,35-39 years,-0.8670132130158997,Ageing-related,Ageing-related,B.4.1.5,6.825965104941394e-5
Cirrhosis and other chronic liver diseases due to other causes,40,40-44 years,-0.8128582924253923,Ageing-related,Ageing-related,B.4.1.5,7.219059334697688e-5
Cirrhosis and other chronic liver diseases due to other causes,45,45-49 years,-0.6914516155852383,Ageing-related,Ageing-related,B.4.1.5,7.604433266172524e-5
Cirrhosis and other chronic liver diseases due to other causes,50,50-54 years,-0.4114845893742602,Ageing-related,Ageing-related,B.4.1.5,6.472270087092313e-5
Cirrhosis and other chronic liver diseases due to other causes,55,55-59 years,0.08171915595497696,Ageing-related,Ageing-related,B.4.1.5,4.48873304096126e-5
Cirrhosis and other chronic liver diseases due to other causes,60,60-64 years,0.5469901695049164,Ageing-related,Ageing-related,B.4.1.5,2.7622725975492078e-5
Cirrhosis and other chronic liver diseases due to other causes,65,65-69 years,0.8280068837747698,Ageing-related,Ageing-related,B.4.1.5,1.5188974944913527e-5
Cirrhosis and other chronic liver diseases due to other causes,70,70-74 years,1.132910399559145,Ageing-related,Ageing-related,B.4.1.5,8.230923226923603e-6
Cirrhosis and other chronic liver diseases due to other causes,75,75-79 years,1.462875471941718,Ageing-related,Ageing-related,B.4.1.5,6.540989330709017e-6
Cirrhosis and other chronic liver diseases due to other causes,80,80-84 years,1.528087984439366,Ageing-related,Ageing-related,B.4.1.5,5.269835684840764e-6
Cirrhosis and other chronic liver diseases due to other causes,85,85-89 years,1.342226465042859,Ageing-related,Ageing-related,B.4.1.5,7.090387680519357e-6
Cirrhosis and other chronic liver diseases due to other causes,90,90-94 years,1.092755175553803,Ageing-related,Ageing-related,B.4.1.5,1.2730001750721152e-5
Cirrhosis and other chronic liver diseases due to other causes,95,95-99 years,1.418662506221752,Ageing-related,Ageing-related,B.4.1.5,4.5698146229847026e-5
Coal workers pneumoconiosis,0,0-1 years,-0.8549205584401829,Ageing-related,Ageing-related,B.3.2.3,0
Coal workers pneumoconiosis,1,1-4 years,-0.8549205584401829,Ageing-related,Ageing-related,B.3.2.3,0
Coal workers pneumoconiosis,5,5-9 years,-0.8549205584401829,Ageing-related,Ageing-related,B.3.2.3,0
Coal workers pneumoconiosis,10,10-14 years,-0.8549205584401829,Ageing-related,Ageing-related,B.3.2.3,0
Coal workers pneumoconiosis,15,15-19 years,-0.8454468615724654,Ageing-related,Ageing-related,B.3.2.3,3.29258950615986e-8
Coal workers pneumoconiosis,20,20-24 years,-0.8413139226800602,Ageing-related,Ageing-related,B.3.2.3,8.22471145884978e-8
Coal workers pneumoconiosis,25,25-29 years,-0.8256424452571188,Ageing-related,Ageing-related,B.3.2.3,1.583876109015667e-7
Coal workers pneumoconiosis,30,30-34 years,-0.8057327782078982,Ageing-related,Ageing-related,B.3.2.3,4.564827332493613e-7
Coal workers pneumoconiosis,35,35-39 years,-0.7472917297323457,Ageing-related,Ageing-related,B.3.2.3,8.336046672900949e-7
Coal workers pneumoconiosis,40,40-44 years,-0.6241736112727521,Ageing-related,Ageing-related,B.3.2.3,1.1891117476461425e-6
Coal workers pneumoconiosis,45,45-49 years,-0.4394119169006219,Ageing-related,Ageing-related,B.3.2.3,1.5394573474355153e-6
Coal workers pneumoconiosis,50,50-54 years,-0.2712403980897181,Ageing-related,Ageing-related,B.3.2.3,1.8414306564855459e-6
Coal workers pneumoconiosis,55,55-59 years,-0.202587794168349,Ageing-related,Ageing-related,B.3.2.3,2.0113773915690018e-6
Coal workers pneumoconiosis,60,60-64 years,0.06149741886357338,Ageing-related,Ageing-related,B.3.2.3,2.4707740307798066e-6
Coal workers pneumoconiosis,65,65-69 years,0.3848934424266228,Ageing-related,Ageing-related,B.3.2.3,3.0997549789472563e-6
Coal workers pneumoconiosis,70,70-74 years,0.9849759958332035,Ageing-related,Ageing-related,B.3.2.3,3.4768119992361523e-6
Coal workers pneumoconiosis,75,75-79 years,1.604439789700365,Ageing-related,Ageing-related,B.3.2.3,3.754763496766277e-6
Coal workers pneumoconiosis,80,80-84 years,2.130786401792595,Ageing-related,Ageing-related,B.3.2.3,4.1974610234586e-6
Coal workers pneumoconiosis,85,85-89 years,2.030277360368423,Ageing-related,Ageing-related,B.3.2.3,4.587338491590466e-6
Coal workers pneumoconiosis,90,90-94 years,1.057943850039404,Ageing-related,Ageing-related,B.3.2.3,5.890782095579768e-6
Coal workers pneumoconiosis,95,95-99 years,0.7677094326178735,Ageing-related,Ageing-related,B.3.2.3,8.487354380058747e-6
Cocaine use disorders,0,0-1 years,-1.129813587951946,Adult,Adult (early),B.7.2.2,0
Cocaine use disorders,1,1-4 years,-1.129813587951946,Adult,Adult (early),B.7.2.2,0
Cocaine use disorders,5,5-9 years,-1.129813587951946,Adult,Adult (early),B.7.2.2,0
Cocaine use disorders,10,10-14 years,-1.097075951002915,Adult,Adult (early),B.7.2.2,4.872006729305914e-5
Cocaine use disorders,15,15-19 years,0.4351443163892185,Adult,Adult (early),B.7.2.2,2.8447890530540097e-4
Cocaine use disorders,20,20-24 years,1.265558803401019,Adult,Adult (early),B.7.2.2,5.8530601077962974e-5
Cocaine use disorders,25,25-29 years,1.439631881369767,Adult,Adult (early),B.7.2.2,3.493097911838246e-5
Cocaine use disorders,30,30-34 years,1.827163390023616,Adult,Adult (early),B.7.2.2,2.0286284834531282e-5
Cocaine use disorders,35,35-39 years,1.531434687882919,Adult,Adult (early),B.7.2.2,1.8006594738818544e-5
Cocaine use disorders,40,40-44 years,1.089747176554649,Adult,Adult (early),B.7.2.2,1.559924119098412e-5
Cocaine use disorders,45,45-49 years,0.8596071076224019,Adult,Adult (early),B.7.2.2,1.3230581784516921e-5
Cocaine use disorders,50,50-54 years,0.7135712492200713,Adult,Adult (early),B.7.2.2,1.13675168901332e-5
Cocaine use disorders,55,55-59 years,0.4670586828125089,Adult,Adult (early),B.7.2.2,1.0444434992266977e-5
Cocaine use disorders,60,60-64 years,-0.10081250845064,Adult,Adult (early),B.7.2.2,7.264029813618779e-6
Cocaine use disorders,65,65-69 years,-0.427230279688595,Adult,Adult (early),B.7.2.2,2.4042690979567597e-6
Cocaine use disorders,70,70-74 years,-0.6552373349514881,Adult,Adult (early),B.7.2.2,0
Cocaine use disorders,75,75-79 years,-0.7218372969563648,Adult,Adult (early),B.7.2.2,0
Cocaine use disorders,80,80-84 years,-0.8368109683375239,Adult,Adult (early),B.7.2.2,0
Cocaine use disorders,85,85-89 years,-0.8264764716101586,Adult,Adult (early),B.7.2.2,0
Cocaine use disorders,90,90-94 years,-0.8059462788132212,Adult,Adult (early),B.7.2.2,0
Cocaine use disorders,95,95-99 years,-0.7680494416094249,Adult,Adult (early),B.7.2.2,0
Colon and rectum cancer,0,0-1 years,-0.9064546565640897,Ageing-related,Ageing-related,B.1.6,0
Colon and rectum cancer,1,1-4 years,-0.9064546565640897,Ageing-related,Ageing-related,B.1.6,0
Colon and rectum cancer,5,5-9 years,-0.9034329009061549,Ageing-related,Ageing-related,B.1.6,7.462907741517075e-7
Colon and rectum cancer,10,10-14 years,-0.9028807417627519,Ageing-related,Ageing-related,B.1.6,8.678906137950664e-7
Colon and rectum cancer,15,15-19 years,-0.8958900792577029,Ageing-related,Ageing-related,B.1.6,3.709112862241687e-6
Colon and rectum cancer,20,20-24 years,-0.8822127830928119,Ageing-related,Ageing-related,B.1.6,8.644822690933389e-6
Colon and rectum cancer,25,25-29 years,-0.861670485919272,Ageing-related,Ageing-related,B.1.6,1.7422082633600775e-5
Colon and rectum cancer,30,30-34 years,-0.8123186308467142,Ageing-related,Ageing-related,B.1.6,3.7332861859848084e-5
Colon and rectum cancer,35,35-39 years,-0.7575737829999714,Ageing-related,Ageing-related,B.1.6,6.578965161909155e-5
Colon and rectum cancer,40,40-44 years,-0.6683078302285606,Ageing-related,Ageing-related,B.1.6,1.1481576834684786e-4
Colon and rectum cancer,45,45-49 years,-0.52527792840201,Ageing-related,Ageing-related,B.1.6,1.9626652327155508e-4
Colon and rectum cancer,50,50-54 years,-0.3175143596276668,Ageing-related,Ageing-related,B.1.6,3.504807279888008e-4
Colon and rectum cancer,55,55-59 years,-0.06765540915890576,Ageing-related,Ageing-related,B.1.6,5.525008834195825e-4
Colon and rectum cancer,60,60-64 years,0.2464049004452525,Ageing-related,Ageing-related,B.1.6,8.359785476627274e-4
Colon and rectum cancer,65,65-69 years,0.5427006654961487,Ageing-related,Ageing-related,B.1.6,0.0011975807711520922
Colon and rectum cancer,70,70-74 years,0.88490553822604,Ageing-related,Ageing-related,B.1.6,0.0016612999665110144
Colon and rectum cancer,75,75-79 years,1.179802600076808,Ageing-related,Ageing-related,B.1.6,0.0021416282811719213
Colon and rectum cancer,80,80-84 years,1.426514769238574,Ageing-related,Ageing-related,B.1.6,0.0026050555456733735
Colon and rectum cancer,85,85-89 years,1.656829776110013,Ageing-related,Ageing-related,B.1.6,0.0031280413731726553
Colon and rectum cancer,90,90-94 years,1.672876544701377,Ageing-related,Ageing-related,B.1.6,0.0030498223294337045
Colon and rectum cancer,95,95-99 years,1.797609451036491,Ageing-related,Ageing-related,B.1.6,0.004211175277355353
Conduct disorder,0,0-1 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,1,1-4 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,5,5-9 years,0.8950489476545264,Infant,Infant,B.6.8,0.007969370855406083
Conduct disorder,10,10-14 years,3.665554059377444,Infant,Infant,B.6.8,0.011484558712790322
Conduct disorder,15,15-19 years,2.077208050237703,Infant,Infant,B.6.8,0.0022477111914693923
Conduct disorder,20,20-24 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,25,25-29 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,30,30-34 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,35,35-39 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,40,40-44 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,45,45-49 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,50,50-54 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,55,55-59 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,60,60-64 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,65,65-69 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,70,70-74 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,75,75-79 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,80,80-84 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,85,85-89 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,90,90-94 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conduct disorder,95,95-99 years,-0.3687672809594263,Infant,Infant,B.6.8,0
Conflict and terrorism,0,0-1 years,4.360601197527482,Infant,Infant,C.3.3,0.0064652935560632055
Conflict and terrorism,1,1-4 years,0.00925866228945392,Infant,Infant,C.3.3,0.002736665568416825
Conflict and terrorism,5,5-9 years,-0.3680486228871122,Infant,Infant,C.3.3,0.001399547962087968
Conflict and terrorism,10,10-14 years,-0.3786393364544461,Infant,Infant,C.3.3,0.0017509658775358597
Conflict and terrorism,15,15-19 years,-0.06776444299271837,Infant,Infant,C.3.3,0.0018832034742826713
Conflict and terrorism,20,20-24 years,0.2200741194953121,Infant,Infant,C.3.3,0.0020074314530774745
Conflict and terrorism,25,25-29 years,0.04361857617492811,Infant,Infant,C.3.3,0.0012730152062913078
Conflict and terrorism,30,30-34 years,-0.009926304921642932,Infant,Infant,C.3.3,8.390012615424836e-4
Conflict and terrorism,35,35-39 years,0.09032989795108524,Infant,Infant,C.3.3,6.343937979078142e-4
Conflict and terrorism,40,40-44 years,0.009513332217510473,Infant,Infant,C.3.3,5.142595175876817e-4
Conflict and terrorism,45,45-49 years,-0.02870196848460385,Infant,Infant,C.3.3,5.342008428994919e-4
Conflict and terrorism,50,50-54 years,-0.1293895796394974,Infant,Infant,C.3.3,5.071363256816743e-4
Conflict and terrorism,55,55-59 years,-0.2615876041900513,Infant,Infant,C.3.3,4.0251454837914464e-4
Conflict and terrorism,60,60-64 years,-0.3665273180870862,Infant,Infant,C.3.3,3.76312763631428e-4
Conflict and terrorism,65,65-69 years,-0.4017934837386924,Infant,Infant,C.3.3,4.3934637563059907e-4
Conflict and terrorism,70,70-74 years,-0.4103012851759398,Infant,Infant,C.3.3,5.388595178312176e-4
Conflict and terrorism,75,75-79 years,-0.4003806629020059,Infant,Infant,C.3.3,6.36886671330436e-4
Conflict and terrorism,80,80-84 years,-0.4120243252116722,Infant,Infant,C.3.3,0.001198180204587932
Conflict and terrorism,85,85-89 years,-0.4104211152395053,Infant,Infant,C.3.3,0.0011925188053377683
Conflict and terrorism,90,90-94 years,-0.5080214796509535,Infant,Infant,C.3.3,8.5686503311741e-4
Conflict and terrorism,95,95-99 years,-0.5798682560798477,Infant,Infant,C.3.3,7.444486158067817e-4
Congenital heart anomalies,0,0-1 years,4.468412076630007,Infant,Infant,B.12.1.2,0.0236396280559703
Congenital heart anomalies,1,1-4 years,-0.05194798900954251,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,5,5-9 years,-0.1890859292939395,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,10,10-14 years,-0.2050967885289027,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,15,15-19 years,-0.2194763515505429,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,20,20-24 years,-0.2217460302456108,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,25,25-29 years,-0.2261463047968857,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,30,30-34 years,-0.2314336954872023,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,35,35-39 years,-0.2313679255192441,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,40,40-44 years,-0.2321376833234488,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,45,45-49 years,-0.2376086224344253,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,50,50-54 years,-0.2384233018325718,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,55,55-59 years,-0.2384197585638299,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,60,60-64 years,-0.2393665336525224,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,65,65-69 years,-0.2399474303109713,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,70,70-74 years,-0.2442333616816499,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,75,75-79 years,-0.2443205022484145,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,80,80-84 years,-0.2443401932771874,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,85,85-89 years,-0.2444442962376682,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,90,90-94 years,-0.2444690366997304,Infant,Infant,B.12.1.2,0
Congenital heart anomalies,95,95-99 years,-0.2444003419357167,Infant,Infant,B.12.1.2,0
Congenital musculoskeletal and limb anomalies,0,0-1 years,4.441946449454503,Infant,Infant,B.12.1.8,0.017419005598667225
Congenital musculoskeletal and limb anomalies,1,1-4 years,0.1952564924113288,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,5,5-9 years,-0.07651617533506049,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,10,10-14 years,-0.1098052455279795,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,15,15-19 years,-0.1519373485953643,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,20,20-24 years,-0.2182602656257772,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,25,25-29 years,-0.2299605549279478,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,30,30-34 years,-0.2310588770189557,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,35,35-39 years,-0.2317051752116813,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,40,40-44 years,-0.2321635400049131,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,45,45-49 years,-0.2325896596013312,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,50,50-54 years,-0.2323306933569672,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,55,55-59 years,-0.2342251292778781,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,60,60-64 years,-0.2412181946045504,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,65,65-69 years,-0.2610520727289869,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,70,70-74 years,-0.2884548489209826,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,75,75-79 years,-0.3105336711386989,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,80,80-84 years,-0.3260107571556449,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,85,85-89 years,-0.3359490810421371,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,90,90-94 years,-0.3437356157598218,Infant,Infant,B.12.1.8,0
Congenital musculoskeletal and limb anomalies,95,95-99 years,-0.349696036031153,Infant,Infant,B.12.1.8,0
Contact dermatitis,0,0-1 years,-1.97640413378639,Ageing-related,Adult (late),B.9.1.2,0
Contact dermatitis,1,1-4 years,-1.97640413378639,Ageing-related,Adult (late),B.9.1.2,0
Contact dermatitis,5,5-9 years,-1.803597256077402,Ageing-related,Adult (late),B.9.1.2,0.0021377864198140707
Contact dermatitis,10,10-14 years,-1.254811664771655,Ageing-related,Adult (late),B.9.1.2,0.009936496844352403
Contact dermatitis,15,15-19 years,-0.7236674870926959,Ageing-related,Adult (late),B.9.1.2,0.020333272977453222
Contact dermatitis,20,20-24 years,-0.4015813310624272,Ageing-related,Adult (late),B.9.1.2,0.02844449514500227
Contact dermatitis,25,25-29 years,-0.0737965178433737,Ageing-related,Adult (late),B.9.1.2,0.03586246066380738
Contact dermatitis,30,30-34 years,0.1660270596794579,Ageing-related,Adult (late),B.9.1.2,0.04104080678071864
Contact dermatitis,35,35-39 years,0.1656992593193131,Ageing-related,Adult (late),B.9.1.2,0.04151563066965535
Contact dermatitis,40,40-44 years,0.1337694158045722,Ageing-related,Adult (late),B.9.1.2,0.040128155880718594
Contact dermatitis,45,45-49 years,0.2350898123872286,Ageing-related,Adult (late),B.9.1.2,0.04258324433222111
Contact dermatitis,50,50-54 years,0.5529063602489153,Ageing-related,Adult (late),B.9.1.2,0.048345701915099695
Contact dermatitis,55,55-59 years,0.7898252650217324,Ageing-related,Adult (late),B.9.1.2,0.05228456478127228
Contact dermatitis,60,60-64 years,1.039472059779813,Ageing-related,Adult (late),B.9.1.2,0.057495631186414785
Contact dermatitis,65,65-69 years,1.331527437077896,Ageing-related,Adult (late),B.9.1.2,0.06477894657170208
Contact dermatitis,70,70-74 years,1.361687892991758,Ageing-related,Adult (late),B.9.1.2,0.06624497212581465
Contact dermatitis,75,75-79 years,1.100174277340203,Ageing-related,Adult (late),B.9.1.2,0.06102548141877513
Contact dermatitis,80,80-84 years,0.7292590606978518,Ageing-related,Adult (late),B.9.1.2,0.055237300118344095
Contact dermatitis,85,85-89 years,0.3645261321869376,Ageing-related,Adult (late),B.9.1.2,0.048494378130957375
Contact dermatitis,90,90-94 years,0.105950586731572,Ageing-related,Adult (late),B.9.1.2,0.04408028046741239
Contact dermatitis,95,95-99 years,0.1343479051530871,Ageing-related,Adult (late),B.9.1.2,0.04443783157437744
Cutaneous and mucocutaneous leishmaniasis,0,0-1 years,-2.693122415112018,Adult,Adult (early),A.4.3.2,2.0170058693370248e-5
Cutaneous and mucocutaneous leishmaniasis,1,1-4 years,-2.04046246656486,Adult,Adult (early),A.4.3.2,8.76666890590353e-5
Cutaneous and mucocutaneous leishmaniasis,5,5-9 years,-0.7329031848424806,Adult,Adult (early),A.4.3.2,1.386053177066351e-4
Cutaneous and mucocutaneous leishmaniasis,10,10-14 years,0.3231120033849917,Adult,Adult (early),A.4.3.2,1.3280352884435028e-4
Cutaneous and mucocutaneous leishmaniasis,15,15-19 years,0.9672278652983054,Adult,Adult (early),A.4.3.2,1.0614077515236073e-4
Cutaneous and mucocutaneous leishmaniasis,20,20-24 years,1.166612328302669,Adult,Adult (early),A.4.3.2,8.26015274429443e-5
Cutaneous and mucocutaneous leishmaniasis,25,25-29 years,1.021309969613013,Adult,Adult (early),A.4.3.2,6.314705884186122e-5
Cutaneous and mucocutaneous leishmaniasis,30,30-34 years,0.4674089078551191,Adult,Adult (early),A.4.3.2,5.513643975479861e-5
Cutaneous and mucocutaneous leishmaniasis,35,35-39 years,0.5685883245074228,Adult,Adult (early),A.4.3.2,6.060509622644765e-5
Cutaneous and mucocutaneous leishmaniasis,40,40-44 years,0.7098679087053583,Adult,Adult (early),A.4.3.2,6.113948757952496e-5
Cutaneous and mucocutaneous leishmaniasis,45,45-49 years,1.354350559067849,Adult,Adult (early),A.4.3.2,6.208625317808359e-5
Cutaneous and mucocutaneous leishmaniasis,50,50-54 years,0.8631673875745159,Adult,Adult (early),A.4.3.2,6.189013909183521e-5
Cutaneous and mucocutaneous leishmaniasis,55,55-59 years,0.1435730462337144,Adult,Adult (early),A.4.3.2,6.431265353435318e-5
Cutaneous and mucocutaneous leishmaniasis,60,60-64 years,-0.1690943674288805,Adult,Adult (early),A.4.3.2,6.409268152379444e-5
Cutaneous and mucocutaneous leishmaniasis,65,65-69 years,0.009746112768467001,Adult,Adult (early),A.4.3.2,6.413438775150207e-5
Cutaneous and mucocutaneous leishmaniasis,70,70-74 years,0.2064856678262112,Adult,Adult (early),A.4.3.2,6.580939574556783e-5
Cutaneous and mucocutaneous leishmaniasis,75,75-79 years,0.2499921599275381,Adult,Adult (early),A.4.3.2,6.743097337644842e-5
Cutaneous and mucocutaneous leishmaniasis,80,80-84 years,-0.1527336431338135,Adult,Adult (early),A.4.3.2,6.631276801604957e-5
Cutaneous and mucocutaneous leishmaniasis,85,85-89 years,-0.5089773336871295,Adult,Adult (early),A.4.3.2,6.917674880326919e-5
Cutaneous and mucocutaneous leishmaniasis,90,90-94 years,-0.909711398211265,Adult,Adult (early),A.4.3.2,6.947631648522061e-5
Cutaneous and mucocutaneous leishmaniasis,95,95-99 years,-0.8444374320847249,Adult,Adult (early),A.4.3.2,8.931233777355476e-5
Cyclist road injuries,0,0-1 years,-1.949623674510331,Ageing-related,Adult (late),C.1.1.2,0
Cyclist road injuries,1,1-4 years,-1.549789224521411,Ageing-related,Adult (late),C.1.1.2,0.0011848736939835123
Cyclist road injuries,5,5-9 years,-1.504136985784729,Ageing-related,Adult (late),C.1.1.2,0.0028724954957043544
Cyclist road injuries,10,10-14 years,-1.287113021906735,Ageing-related,Adult (late),C.1.1.2,0.0048154712687369415
Cyclist road injuries,15,15-19 years,-0.8001646664316847,Ageing-related,Adult (late),C.1.1.2,0.006980074652269625
Cyclist road injuries,20,20-24 years,-0.5552588128753106,Ageing-related,Adult (late),C.1.1.2,0.00740900550189809
Cyclist road injuries,25,25-29 years,-0.408804205035851,Ageing-related,Adult (late),C.1.1.2,0.006408097383936953
Cyclist road injuries,30,30-34 years,-0.1246339194287633,Ageing-related,Adult (late),C.1.1.2,0.005770236414604818
Cyclist road injuries,35,35-39 years,0.09964266179999197,Ageing-related,Adult (late),C.1.1.2,0.00572842956678324
Cyclist road injuries,40,40-44 years,0.4501083719728869,Ageing-related,Adult (late),C.1.1.2,0.0054378562099436515
Cyclist road injuries,45,45-49 years,0.7597166506148499,Ageing-related,Adult (late),C.1.1.2,0.004750673672024897
